fecha,ipc,ipc_indice
2017-01-01,1.6,101
2017-02-01,2.1,103
2017-03-01,2.4,106
2017-04-01,2.7,109
2017-05-01,1.4,110
2017-06-01,1.2,111
2017-07-01,1.7,113
2017-08-01,1.4,115
2017-09-01,1.9,117
2017-10-01,1.5,119
2017-11-01,1.4,121
2017-12-01,3.1,124
2018-01-01,1.8,127
2018-02-01,2.4,130
2018-03-01,2.3,133
2018-04-01,2.7,136
2018-05-01,2.1,139
2018-06-01,3.7,144
2018-07-01,3.1,149
2018-08-01,3.9,155
2018-09-01,6.5,165
2018-10-01,5.4,174
2018-11-01,3.2,179
2018-12-01,2.6,184
2019-01-01,2.9,189
2019-02-01,3.8,196
2019-03-01,4.7,206
2019-04-01,3.4,213
2019-05-01,3.1,219
2019-06-01,2.7,225
2019-07-01,2.2,230
2019-08-01,4.0,239
2019-09-01,5.9,253
2019-10-01,3.3,262
2019-11-01,4.3,273
2019-12-01,3.7,283
2020-01-01,2.3,289
2020-02-01,2.0,295
2020-03-01,3.3,305
2020-04-01,1.5,310
2020-05-01,1.5,314
2020-06-01,2.2,322
2020-07-01,1.9,328
2020-08-01,2.7,337
2020-09-01,2.8,346
2020-10-01,3.8,359
2020-11-01,3.2,371
2020-12-01,4.0,385
2021-01-01,4.0,401
2021-02-01,3.6,415
2021-03-01,4.8,435
2021-04-01,4.1,453
2021-05-01,3.3,468
2021-06-01,3.2,483
2021-07-01,3.0,498
2021-08-01,2.5,510
2021-09-01,3.5,528
2021-10-01,3.5,547
2021-11-01,2.5,560
2021-12-01,3.8,582
2022-01-01,3.9,605
2022-02-01,4.7,633
2022-03-01,6.7,676
2022-04-01,6.0,716
2022-05-01,5.1,753
2022-06-01,5.3,793
2022-07-01,7.4,851
2022-08-01,7.0,911
2022-09-01,6.2,967
2022-10-01,6.3,1028
2022-11-01,4.9,1079
2022-12-01,5.1,1134
2023-01-01,6.0,1203
2023-02-01,6.6,1282
2023-03-01,7.7,1381
2023-04-01,8.4,1497
2023-05-01,7.8,1613
2023-06-01,6.0,1709
2023-07-01,6.3,1818
2023-08-01,12.4,2044
2023-09-01,12.7,2304
2023-10-01,8.3,2496
2023-11-01,12.8,2816
2023-12-01,25.5,3533
2024-01-01,20.6,4261
2024-02-01,13.2,4825
2024-03-01,11.7,5357
2024-04-01,8.8,5830
2024-05-01,5.2,6073
2024-06-01,4.2,6351
2024-07-01,4.6,6607
2024-08-01,4.2,6883
