"fecha","ipc","ipc_indice"
2017-01-01,1.6,101.6
2017-02-01,2.1,103.7336
2017-03-01,2.4,106.2232064
2017-04-01,2.7,109.091233
2017-05-01,1.4,110.6185102
2017-06-01,1.2,111.9459324
2017-07-01,1.7,113.8490132
2017-08-01,1.4,115.4428994
2017-09-01,1.9,117.6363145
2017-10-01,1.5,119.4008592
2017-11-01,1.4,121.0724712
2017-12-01,3.1,124.8257178
2018-01-01,1.8,127.0725808
2018-02-01,2.4,130.1223227
2018-03-01,2.3,133.1151361
2018-04-01,2.7,136.7092448
2018-05-01,2.1,139.5801389
2018-06-01,3.7,144.7446041
2018-07-01,3.1,149.2316868
2018-08-01,3.9,155.0517226
2018-09-01,6.5,165.1300846
2018-10-01,5.4,174.0471091
2018-11-01,3.2,179.6166166
2018-12-01,2.6,184.2866486
2019-01-01,2.9,189.6309615
2019-02-01,3.8,196.836938
2019-03-01,4.7,206.0882741
2019-04-01,3.4,213.0952754
2019-05-01,3.1,219.7012289
2019-06-01,2.7,225.6331621
2019-07-01,2.2,230.5970917
2019-08-01,4,239.8209753
2019-09-01,5.9,253.9704129
2019-10-01,3.3,262.3514365
2019-11-01,4.3,273.6325483
2019-12-01,3.7,283.7569526
2020-01-01,2.3,290.2833625
2020-02-01,2,296.0890297
2020-03-01,3.3,305.8599677
2020-04-01,1.5,310.4478672
2020-05-01,1.5,315.1045852
2020-06-01,2.2,322.0368861
2020-07-01,1.9,328.1555869
2020-08-01,2.7,337.0157878
2020-09-01,2.8,346.4522298
2020-10-01,3.8,359.6174146
2020-11-01,3.2,371.1251718
2020-12-01,4,385.9701787
2021-01-01,4,401.4089859
2021-02-01,3.6,415.8597094
2021-03-01,4.8,435.8209754
2021-04-01,4.1,453.6896354
2021-05-01,3.3,468.6613934
2021-06-01,3.2,483.658558
2021-07-01,3,498.1683147
2021-08-01,2.5,510.6225226
2021-09-01,3.5,528.4943109
2021-10-01,3.5,546.9916117
2021-11-01,2.5,560.666402
2021-12-01,3.8,581.9717253
2022-01-01,3.9,604.6686226
2022-02-01,4.7,633.0880479
2022-03-01,6.7,675.5049471
2022-04-01,6,716.0352439
2022-05-01,5.1,752.5530413
2022-06-01,5.3,792.4383525
2022-07-01,7.4,851.0787906
2022-08-01,7,910.6543059
2022-09-01,6.2,967.1148729
2022-10-01,6.3,1028.04311
2022-11-01,4.9,1078.417222
2022-12-01,5.1,1133.416501
2023-01-01,6,1201.421491
2023-02-01,6.6,1280.715309
2023-03-01,7.7,1379.330388
2023-04-01,8.4,1495.19414
2023-05-01,7.8,1611.819283
2023-06-01,6,1708.52844
2023-07-01,6.3,1816.165732
2023-08-01,12.4,2041.370283
2023-09-01,12.7,2300.624309
2023-10-01,8.3,2491.576126
2023-11-01,12.8,2810.497871
2023-12-01,25.5,3527.174828
2024-01-01,20.6,4253.772842
2024-02-01,13.2,4815.270857
2024-03-01,11.7,5378.657548
2024-04-01,8.8,5851.979412
2024-05-01,4.2,6097.762547
2024-06-01,4.6,6378.259624
2024-07-01,4,6633.390009
2024-08-01,4.2,6911.99239
2024-09-01,3.5,7153.912123
2024-10-01,2.7,7347.067751
2024-11-01,2.4,7523.397377
2024-12-01,2.7,7726.529106
2025-01-01,2.2,7896.512746
2025-02-01,2.4,8086.029052
2025-03-01,3.7,8385.212127
2025-04-01,2.8,8619.998067
2025-05-01,1.5,8749.298038
2025-06-01,1.6,8889.286806
2025-07-01,1.9,9058.183255
2025-08-01,1.9,9230.288737
2025-09-01,2.1,9424.124800477
2025-10-01,2.3,9640.87967088797
2025-11-01,2.5,9881.90166266017
2025-12-01,2.8,10158.5949092147
2026-01-01,2.9,10453.1941615819
2026-02-01,2.1,10672.7112389751
2026-03-01,2.2,10907.5108862326
2026-04-01,1.9,11114.753593071
2026-05-01,1.7,11303.7044041532
2026-06-01,1.64,11489.0851563813
2026-07-01,1.5,11661.421433727
2026-08-01,1.5,11836.3427552329
2026-09-01,1.5,12013.8878965614
2026-10-01,1.5,12194.0962150098
2026-11-01,1.5,12377.007658235
2026-12-01,1.5,12562.6627731085
