fecha,ipc,ipc_indice
2017-01-01,1.6,101.6
2017-02-01,2.1,103.7
2017-03-01,2.4,106.1
2017-04-01,2.7,109
2017-05-01,1.4,110.5
2017-06-01,1.2,111.8
2017-07-01,1.7,113.8
2017-08-01,1.4,115.4
2017-09-01,1.9,117.6
2017-10-01,1.5,119.4
2017-11-01,1.4,121
2017-12-01,3.1,124.8
2018-01-01,1.8,127
2018-02-01,2.4,130.1
2018-03-01,2.3,133.1
2018-04-01,2.7,136.8
2018-05-01,2.1,139.6
2018-06-01,3.7,144.8
2018-07-01,3.1,149.3
2018-08-01,3.9,155.1
2018-09-01,6.5,165.2
2018-10-01,5.4,174.1
2018-11-01,3.2,179.6
2018-12-01,2.6,184.3
2019-01-01,2.9,189.6
2019-02-01,3.8,196.8
2019-03-01,4.7,206
2019-04-01,3.4,213.1
2019-05-01,3.1,219.6
2019-06-01,2.7,225.5
2019-07-01,2.2,230.5
2019-08-01,4,239.6
2019-09-01,5.9,253.7
2019-10-01,3.3,262.1
2019-11-01,4.3,273.2
2019-12-01,3.7,283.4
2020-01-01,2.3,289.8
2020-02-01,2,295.7
2020-03-01,3.3,305.6
2020-04-01,1.5,310.1
2020-05-01,1.5,314.9
2020-06-01,2.2,322
2020-07-01,1.9,328.2
2020-08-01,2.7,337.1
2020-09-01,2.8,346.6
2020-10-01,3.8,359.7
2020-11-01,3.2,371
2020-12-01,4,385.9
2021-01-01,4,401.5
2021-02-01,3.6,415.9
2021-03-01,4.8,435.9
2021-04-01,4.1,453.7
2021-05-01,3.3,468.7
2021-06-01,3.2,483.6
2021-07-01,3,498.1
2021-08-01,2.5,510.4
2021-09-01,3.5,528.5
2021-10-01,3.5,547.1
2021-11-01,2.5,560.9
2021-12-01,3.8,582.5
2022-01-01,3.9,605
2022-02-01,4.7,633.4
2022-03-01,6.7,676.1
2022-04-01,6,716.9
2022-05-01,5.1,753.1
2022-06-01,5.3,793
2022-07-01,7.4,851.8
2022-08-01,7,911.1
2022-09-01,6.2,967.3
2022-10-01,6.3,1028.7
2022-11-01,4.9,1079.3
2022-12-01,5.1,1134.6
2023-01-01,6,1203
2023-02-01,6.6,1282.7
2023-03-01,7.7,1381.2
2023-04-01,8.4,1497.2
2023-05-01,7.8,1613.6
2023-06-01,6,1709.6
2023-07-01,6.3,1818.1
2023-08-01,12.4,2044.3
2023-09-01,12.7,2304.9
2023-10-01,8.3,2496.3
2023-11-01,12.8,2816.1
2023-12-01,25.5,3533.2
2024-01-01,20.6,4261.5
2024-02-01,13.2,4825.8
2024-03-01,11.7,5357.1
2024-04-01,8.8,5830.2
2024-05-01,4.2,6073.7
2024-06-01,4.6,6351.7
2024-07-01,4,6607.7
2024-08-01,4.2,6883.4
2024-09-01,3.7,7138.0858
2024-10-01,3.5,7387.918803
2024-11-01,3.2,7624.332205
2024-12-01,3,7853.062171
2025-01-01,2,8010.123414
2025-02-01,2,8170.325883
2025-03-01,1.5,8292.880771
2025-04-01,1.5,8417.273982
2025-05-01,1.5,8543.533092
2025-06-01,1.5,8671.686088
2025-07-01,1.4,8793.089694
2025-08-01,1.2,8898.60677
2025-09-01,1.2,9005.390051
2025-10-01,1.1,9104.449342
2025-11-01,1,9195.493835
2025-12-01,1,9287.448774
