"subparcial_desc","credito_vigente","credito_devengado"
"Universidades sin Discriminar",254596.035696,0
"Universidad de Buenos Aires",44146.664299,170580.793963
"Universidad Nacional de Córdoba",11328.785966,16585.363755
"Universidad Nacional de Cuyo",3492.319966,3806.056025
"Universidad Nacional de La Rioja",2851.323161,3305.187314
"Universidad Nacional de Rosario",1393.846442,1256.290949
"Universidad Nacional de La Plata",1021.796871,946.770555
"Universidad Nacional de Tucumán",692.381682,622.549428
"Universidad Nacional del Nordeste",391.09293,359.023552
"Universidad Nacional del Litoral",364.613373,321.500641
"Universidad Nacional de Chaco Austral",352.85353,227.443022
"Universidad Nacional del Comahue",331.968066,294.984561
"Universidad Nacional de La Matanza",329.88234,285.51739
"Universidad Nacional del Sur",318.220567,279.384245
"Universidad Nacional de la Patagonia",297.564707,262.476521
"Universidad Nacional del Centro de la Provincia de Bs.As.",294.425472,258.132465
"Universidad Nacional de Santiago del Estero",233.719013,204.395011
"Universidad Nacional Arturo Jauretche",214.46125,182.506965
"Universidad Nacional de Villa María",124.780425,121.085171
"Universidad Nacional de Villa Maria",84.551964,60.377027
"Universidad Nacional de Rio Negro",71.822709,82.66636
"Universidad Nacional de Río Cuarto",55.613448,48.896975
"Universidad Nacional de La Pampa",55.469009,54.930473
"Universidad Nacional de General San Martín",55.382263,56.405798
